Transaction_ID,Customer_ID,Transaction_Date,Transaction_Type,Amount,Merchant_Category,City,Payment_Method,Is_Fraud
T00001,C8270,2025-12-31,Transfer,4.51,Utilities,Peshawar,Debit Card,0
T00002,C1860,2025-03-06,Payment,477.52,Retail,Peshawar,Credit Card,0
T00003,C6390,2025-11-22,Transfer,171.32,Travel,Faisalabad,Credit Card,0
T00004,C6191,2025-03-10,Payment,14.44,Retail,Peshawar,Online Banking,0
T00005,C6734,2025-05-01,Transfer,173.37,Travel,Lahore,Credit Card,0
T00006,C7265,2025-04-19,Deposit,31.33,Utilities,Faisalabad,ATM,0
T00007,C1466,2025-11-12,Deposit,6.38,Retail,Faisalabad,Debit Card,0
T00008,C5426,2025-09-04,Transfer,24.78,Travel,Faisalabad,Credit Card,0
T00009,C6578,2025-04-03,Withdrawal,298.43,Retail,Faisalabad,ATM,0
T00010,C9322,2025-09-25,Withdrawal,281.84,Food,Peshawar,Credit Card,0
T00011,C2685,2025-04-13,Transfer,185.43,Food,Faisalabad,Credit Card,0
T00012,C1769,2025-04-22,Deposit,46.97,Healthcare,Lahore,Credit Card,0
T00013,C7949,2025-11-17,Transfer,268.62,Food,Lahore,Online Banking,0
T00014,C3433,2025-10-31,Withdrawal,104.87,Electronics,Karachi,Debit Card,0
T00015,C6311,2025-12-10,Transfer,142.98,Food,Lahore,Debit Card,0
T00016,C6051,2025-03-03,Deposit,455.85,Food,Karachi,Debit Card,0
T00017,C7420,2025-10-27,Withdrawal,122.45,Utilities,Lahore,Online Banking,0
T00018,C2184,2025-05-16,Withdrawal,196.9,Retail,Faisalabad,Credit Card,0
T00019,C5555,2025-02-24,Payment,652.73,Retail,Islamabad,Debit Card,0
T00020,C4385,2025-04-18,Payment,120.07,Food,Faisalabad,Debit Card,0
T00021,C7396,2025-10-30,Withdrawal,164.53,Retail,Peshawar,Credit Card,0
T00022,C9666,2025-09-15,Withdrawal,175.61,Travel,Karachi,Debit Card,0
T00023,C3558,2025-09-10,Transfer,55.07,Healthcare,Islamabad,Credit Card,0
T00024,C8849,2025-08-10,Deposit,267.06,Food,Lahore,Online Banking,0
T00025,C3047,2025-06-16,Withdrawal,259.39,Healthcare,Faisalabad,Debit Card,0
T00026,C3747,2025-06-09,Deposit,48.05,Food,Karachi,Debit Card,0
T00027,C1189,2025-06-15,Withdrawal,2.69,Electronics,Karachi,Credit Card,0
T00028,C3734,2025-07-24,Deposit,1370.19,Healthcare,Lahore,ATM,0
T00029,C4005,2025-09-24,Payment,174.26,Travel,Karachi,Online Banking,0
T00030,C5658,2025-05-18,Withdrawal,39.94,Food,Lahore,Debit Card,0
T00031,C2899,2025-12-12,Transfer,66.69,Food,Lahore,Credit Card,0
T00032,C8734,2025-09-05,Deposit,192.36,Retail,Faisalabad,Online Banking,0
T00033,C2267,2025-02-24,Withdrawal,29.61,Food,Karachi,Credit Card,0
T00034,C2528,2025-07-28,Payment,7.6,Healthcare,Peshawar,ATM,0
T00035,C4556,2025-01-17,Payment,320.37,Healthcare,Peshawar,Debit Card,0
T00036,C4890,2025-03-09,Payment,251.65,Food,Faisalabad,ATM,0
T00037,C9838,2025-05-13,Payment,74.1,Food,Faisalabad,Debit Card,0
T00038,C6393,2025-07-07,Withdrawal,12.05,Food,Lahore,ATM,0
T00039,C9792,2025-11-04,Transfer,133.21,Electronics,Peshawar,Debit Card,0
T00040,C9433,2025-05-18,Deposit,64.64,Travel,Karachi,Credit Card,0
T00041,C8513,2025-06-23,Transfer,101.43,Healthcare,Peshawar,Online Banking,0
T00042,C3612,2025-04-07,Deposit,64.03,Electronics,Faisalabad,Debit Card,0
T00043,C8041,2025-06-20,Transfer,38.54,Retail,Faisalabad,Debit Card,0
T00044,C7235,2025-06-03,Withdrawal,97.87,Utilities,Lahore,Credit Card,0
T00045,C6486,2025-07-02,Withdrawal,669.88,Food,Karachi,ATM,0
T00046,C8099,2025-08-30,Deposit,61.91,Healthcare,Faisalabad,Debit Card,0
T00047,C1775,2025-10-31,Withdrawal,81.88,Retail,Karachi,ATM,0
T00048,C9226,2025-10-12,Deposit,79.87,Healthcare,Peshawar,Credit Card,0
T00049,C4152,2025-01-27,Transfer,130.9,Utilities,Lahore,Debit Card,0
T00050,C2585,2025-12-26,Withdrawal,370.95,Food,Peshawar,Online Banking,0
T00051,C4943,2025-03-01,Withdrawal,102.87,Healthcare,Faisalabad,Debit Card,0
T00052,C8555,2025-07-21,Deposit,328.13,Food,Faisalabad,Credit Card,0
T00053,C4073,2025-09-07,Deposit,24.44,Utilities,Karachi,ATM,0
T00054,C2021,2025-12-28,Deposit,450.58,Electronics,Faisalabad,Debit Card,0
T00055,C4843,2025-03-10,Deposit,40.99,Utilities,Karachi,Credit Card,0
T00056,C8989,2025-01-21,Payment,8.0,Utilities,Islamabad,Credit Card,0
T00057,C7873,2025-06-01,Deposit,34.48,Healthcare,Faisalabad,Credit Card,0
T00058,C6675,2025-04-12,Payment,42.33,Travel,Peshawar,ATM,0
T00059,C1161,2025-04-05,Transfer,142.06,Food,Peshawar,ATM,0
T00060,C5297,2025-12-27,Deposit,119.54,Healthcare,Karachi,Online Banking,0
T00061,C1995,2025-08-17,Payment,251.67,Food,Islamabad,Online Banking,0
T00062,C8629,2025-05-05,Payment,10.46,Electronics,Faisalabad,Debit Card,0
T00063,C2016,2025-09-15,Payment,137.71,Electronics,Lahore,Credit Card,0
T00064,C8869,2025-11-18,Withdrawal,80.83,Travel,Lahore,Online Banking,0
T00065,C7439,2025-08-24,Payment,199.23,Travel,Peshawar,ATM,0
T00066,C8892,2025-06-11,Deposit,8.94,Travel,Faisalabad,Credit Card,0
T00067,C7863,2025-02-11,Deposit,7.11,Electronics,Lahore,Debit Card,0
T00068,C8916,2025-10-03,Deposit,111.46,Utilities,Karachi,Credit Card,0
T00069,C9529,2025-12-19,Payment,333.56,Healthcare,Faisalabad,Online Banking,0
T00070,C1878,2025-03-09,Payment,222.4,Food,Peshawar,Online Banking,0
T00071,C5887,2025-06-22,Withdrawal,3.37,Food,Islamabad,Credit Card,0
T00072,C5859,2025-11-27,Transfer,39.32,Healthcare,Karachi,ATM,0
T00073,C7331,2025-05-05,Withdrawal,51.43,Retail,Karachi,Credit Card,0
T00074,C9571,2025-06-19,Deposit,110.0,Electronics,Faisalabad,Credit Card,0
T00075,C9684,2025-02-16,Deposit,176.72,Electronics,Islamabad,Credit Card,0
T00076,C8208,2025-09-18,Deposit,48.79,Travel,Karachi,Credit Card,0
T00077,C6276,2025-08-05,Withdrawal,96.42,Healthcare,Islamabad,Credit Card,0
T00078,C3062,2025-11-01,Deposit,175.39,Retail,Peshawar,ATM,0
T00079,C1064,2025-05-04,Deposit,96.72,Retail,Karachi,Debit Card,0
T00080,C9006,2025-10-20,Deposit,30.9,Electronics,Lahore,Debit Card,0
T00081,C3568,2025-06-11,Payment,135.32,Travel,Peshawar,Online Banking,0
T00082,C6463,2025-07-20,Transfer,78.31,Food,Peshawar,ATM,0
T00083,C3027,2025-10-02,Payment,399.3,Travel,Karachi,Credit Card,0
T00084,C3695,2025-07-25,Payment,298.89,Food,Lahore,ATM,0
T00085,C6258,2025-02-09,Transfer,42.21,Electronics,Islamabad,Debit Card,0
T00086,C6618,2025-09-30,Transfer,33.12,Travel,Lahore,Credit Card,0
T00087,C7736,2025-07-07,Withdrawal,85.44,Retail,Peshawar,ATM,0
T00088,C1391,2025-12-21,Transfer,106.27,Healthcare,Karachi,Online Banking,0
T00089,C6892,2025-04-03,Withdrawal,537.7,Utilities,Lahore,Debit Card,0
T00090,C4561,2025-02-11,Withdrawal,71.8,Retail,Lahore,Credit Card,0
T00091,C7184,2025-04-17,Payment,404.36,Healthcare,Peshawar,Credit Card,0
T00092,C4099,2025-11-24,Deposit,140.76,Food,Islamabad,Credit Card,0
T00093,C7278,2025-03-06,Payment,433.65,Electronics,Lahore,Credit Card,0
T00094,C9392,2025-12-31,Payment,242.1,Travel,Lahore,Credit Card,0
T00095,C4104,2025-11-05,Transfer,246.47,Electronics,Faisalabad,Credit Card,0
T00096,C8215,2025-05-15,Transfer,146.29,Electronics,Peshawar,ATM,0
T00097,C3454,2025-01-24,Withdrawal,366.9,Food,Faisalabad,Online Banking,0
T00098,C9996,2025-01-28,Withdrawal,58.72,Electronics,Peshawar,ATM,0
T00099,C3731,2025-03-03,Withdrawal,475.79,Travel,Peshawar,ATM,0
T00100,C9154,2025-09-30,Transfer,202.55,Retail,Faisalabad,Credit Card,0
T00101,C6056,2025-08-17,Withdrawal,115.5,Electronics,Islamabad,Credit Card,0
T00102,C9110,2025-01-20,Withdrawal,805.6,Travel,Islamabad,ATM,0
T00103,C4840,2025-01-03,Transfer,396.12,Travel,Peshawar,Debit Card,0
T00104,C2028,2025-08-06,Deposit,295.7,Food,Faisalabad,Credit Card,0
T00105,C8385,2025-11-03,Payment,64.01,Electronics,Lahore,Credit Card,0
T00106,C1502,2025-05-16,Transfer,727.95,Food,Peshawar,Debit Card,0
T00107,C7910,2025-01-03,Withdrawal,271.73,Retail,Peshawar,ATM,0
T00108,C7938,2025-07-12,Payment,185.88,Retail,Karachi,Debit Card,0
T00109,C5488,2025-03-14,Transfer,509.7,Healthcare,Islamabad,Credit Card,0
T00110,C1206,2025-12-27,Payment,35.39,Travel,Faisalabad,Online Banking,0
T00111,C6134,2025-04-28,Payment,29.94,Electronics,Lahore,Debit Card,0
T00112,C6977,2025-06-03,Deposit,165.89,Healthcare,Lahore,Debit Card,0
T00113,C8721,2025-07-28,Withdrawal,11.68,Travel,Peshawar,Credit Card,0
T00114,C8035,2025-02-03,Transfer,218.12,Electronics,Lahore,Debit Card,0
T00115,C2484,2025-05-17,Withdrawal,55.08,Food,Lahore,Credit Card,0
T00116,C8858,2025-11-14,Deposit,25.35,Retail,Peshawar,Online Banking,0
T00117,C1863,2025-04-30,Deposit,105.36,Healthcare,Islamabad,Online Banking,0
T00118,C3790,2025-04-25,Transfer,125.45,Healthcare,Karachi,ATM,0
T00119,C8408,2025-01-13,Transfer,37.38,Retail,Islamabad,Credit Card,0
T00120,C9755,2025-03-10,Deposit,8.48,Food,Islamabad,Online Banking,0
T00121,C6116,2025-11-29,Transfer,106.91,Utilities,Karachi,Credit Card,0
T00122,C7019,2025-09-14,Payment,285.03,Utilities,Peshawar,Debit Card,0
T00123,C2757,2025-03-30,Payment,414.61,Utilities,Islamabad,Debit Card,0
T00124,C8574,2025-02-16,Deposit,20.53,Electronics,Faisalabad,Credit Card,0
T00125,C7374,2025-09-17,Withdrawal,148.75,Healthcare,Faisalabad,Credit Card,0
T00126,C7892,2025-08-16,Transfer,61.14,Food,Karachi,Debit Card,0
